Date,EUR/PLN,GBP/PLN,USD/PLN
05/10/20,4.5482,5.1959,4.1946
05/11/20,4.5591,5.1882,4.212
05/12/20,4.5449,5.178,4.1858
05/13/20,4.5636,5.1715,4.1964
05/14/20,4.5666,5.1603,4.2315
05/15/20,4.565,5.1444,4.2276
05/16/20,4.565,5.1444,4.2276
05/17/20,4.565,5.1444,4.2276
05/18/20,4.5596,5.1144,4.2094
05/19/20,4.551,5.0829,4.1562
05/20/20,4.5441,5.0853,4.1468
05/21/20,4.5298,5.0363,4.118
05/22/20,4.5209,5.0477,4.1461
05/23/20,4.5209,5.0477,4.1461
05/24/20,4.5209,5.0477,4.1461
05/25/20,4.5031,5.0306,4.1275
05/26/20,4.4506,5.0075,4.0552
05/27/20,4.4372,4.9525,4.0371
05/28/20,4.4242,4.9307,4.0162
05/29/20,4.4495,4.9391,3.9956
05/30/20,4.4495,4.9391,3.9956
05/31/20,4.4495,4.9391,3.9956
06/01/20,4.4278,4.9377,3.9833
06/02/20,4.3993,4.9384,3.9371
06/03/20,4.4135,4.9554,3.9427
06/04/20,4.4372,4.9475,3.9442
06/05/20,4.4425,4.9666,3.921
06/06/20,4.4425,4.9666,3.921
06/07/20,4.4425,4.9666,3.921
06/08/20,4.4333,4.9716,3.9285
06/09/20,4.4464,4.9892,3.937
06/10/20,4.4524,5.0048,3.9142
06/11/20,4.4729,4.9885,3.9416
06/12/20,4.4484,4.9618,3.9352
06/13/20,4.4484,4.9618,3.9352
06/14/20,4.4484,4.9618,3.9352
06/15/20,4.4352,4.9473,3.9413
06/16/20,4.4272,4.9538,3.9151
06/17/20,4.4467,4.9713,3.959
06/18/20,4.4647,4.9592,3.9785
06/19/20,4.4516,4.9186,3.9711
06/20/20,4.4516,4.9186,3.9711
06/21/20,4.4516,4.9186,3.9711
06/22/20,4.4493,4.9257,3.968
06/23/20,4.4371,4.8958,3.9204
06/24/20,4.448,4.9235,3.9433
06/25/20,4.4653,4.9541,3.9869
06/26/20,4.4684,4.9334,3.985
06/27/20,4.4684,4.9334,3.985
06/28/20,4.4684,4.9334,3.985
06/29/20,4.4664,4.8792,3.9582
06/30/20,4.456,4.8837,3.9793
07/01/20,4.4583,4.9301,3.9806
07/02/20,4.474,4.9587,3.9642
07/03/20,4.4687,4.9586,3.9814
07/04/20,4.4687,4.9586,3.9814
07/05/20,4.4687,4.9586,3.9814
07/06/20,4.4689,4.9377,3.946
07/07/20,4.4683,4.9565,3.9578
07/08/20,4.4765,4.9781,3.9664
07/09/20,4.4655,4.9808,3.9371
07/10/20,4.4743,4.9953,3.968
07/11/20,4.4743,4.9953,3.968
07/12/20,4.4743,4.9953,3.968
07/13/20,4.4758,4.9765,3.9507
07/14/20,4.4781,4.933,3.9368
07/15/20,4.4688,4.9357,3.9049
07/16/20,4.4928,4.9439,3.9362
07/17/20,4.4827,4.9218,3.9226
07/18/20,4.4827,4.9218,3.9226
07/19/20,4.4827,4.9218,3.9226
07/20/20,4.4592,4.9232,3.8952
07/21/20,4.4362,4.9261,3.8768
07/22/20,4.4288,4.8602,3.8252
07/23/20,4.4141,4.8403,3.8155
07/24/20,4.4046,4.841,3.7945
07/25/20,4.4046,4.841,3.7945
07/26/20,4.4046,4.841,3.7945
07/27/20,4.4016,4.8189,3.7429
07/28/20,4.4054,4.8428,3.7598
07/29/20,4.4194,4.8895,3.7692
07/30/20,4.408,4.8832,3.7537
07/31/20,4.4034,4.8898,3.7166
08/01/20,4.4034,4.8898,3.7166
08/02/20,4.4034,4.8898,3.7166
08/03/20,4.4201,4.9105,3.7695
08/04/20,4.4055,4.8768,3.7446
08/05/20,4.3935,4.8673,3.7063
08/06/20,4.4073,4.8952,3.7214
08/07/20,4.4081,4.8777,3.7303
08/08/20,4.4081,4.8777,3.7303
08/09/20,4.4081,4.8777,3.7303
08/10/20,4.4021,4.8828,3.7423
08/11/20,4.4018,4.8994,3.7357
08/12/20,4.4033,4.8669,3.7408
08/13/20,4.3968,4.8652,3.7157
08/14/20,4.3984,4.8777,3.7234
08/15/20,4.3984,4.8777,3.7234
08/16/20,4.3984,4.8777,3.7234
08/17/20,4.3966,4.8514,3.7093
08/18/20,4.387,4.8542,3.6847
08/19/20,4.3942,4.8638,3.6824
08/20/20,4.3914,4.87,3.7058
08/21/20,4.3979,4.8999,3.7369
08/22/20,4.3979,4.8999,3.7369
08/23/20,4.3979,4.8999,3.7369
08/24/20,4.3986,4.8778,3.7128
08/25/20,4.3919,4.8829,3.7175
08/26/20,4.4074,4.914,3.7386
08/27/20,4.3993,4.9151,3.7263
08/28/20,4.3921,4.9091,3.6862
08/29/20,4.3921,4.9091,3.6862
08/30/20,4.3921,4.9091,3.6862
08/31/20,4.3971,4.9072,3.6827
09/01/20,4.3925,4.9368,3.6644
09/02/20,4.4186,4.9737,3.7253
09/03/20,4.4269,4.9665,3.7475
09/04/20,4.4514,4.9834,3.759
09/05/20,4.4514,4.9834,3.759
09/06/20,4.4514,4.9834,3.759
09/07/20,4.4504,4.954,3.7639
09/08/20,4.4483,4.9178,3.7745
09/09/20,4.4498,4.8785,3.7797
09/10/20,4.4525,4.8613,3.7577
09/11/20,4.4467,4.812,3.7512
09/12/20,4.4467,4.812,3.7512
09/13/20,4.4467,4.812,3.7512
09/14/20,4.4504,4.8274,3.7474
09/15/20,4.4461,4.8277,3.7387
09/16/20,4.4466,4.8638,3.7464
09/17/20,4.4579,4.8704,3.7788
09/18/20,4.4602,4.8843,3.7693
09/19/20,4.4602,4.8843,3.7693
09/20/20,4.4602,4.8843,3.7693
09/21/20,4.4837,4.8944,3.8039
09/22/20,4.4934,4.8978,3.8274
09/23/20,4.5001,4.8975,3.8489
09/24/20,4.5293,4.9648,3.8895
09/25/20,4.5557,4.9875,3.9159
09/26/20,4.5557,4.9875,3.9159
09/27/20,4.5557,4.9875,3.9159
09/28/20,4.5502,5.0274,3.8991
09/29/20,4.5435,4.9949,3.8827
09/30/20,4.5462,4.983,3.883
10/01/20,4.4935,4.953,3.8236
10/02/20,4.4944,4.9567,3.8315
10/03/20,4.4944,4.9567,3.8315
10/04/20,4.4944,4.9567,3.8315
10/05/20,4.498,4.9532,3.8222
10/06/20,4.4872,4.9278,3.8043
10/07/20,4.4862,4.9076,3.8116
10/08/20,4.4843,4.9259,3.8116
10/09/20,4.4702,4.9033,3.7899
10/10/20,4.4702,4.9033,3.7899
10/11/20,4.4702,4.9033,3.7899
10/12/20,4.481,4.946,3.7978
10/13/20,4.4851,4.9509,3.8051
10/14/20,4.5073,4.9862,3.836
10/15/20,4.5518,5.0277,3.8911
10/16/20,4.5558,5.0111,3.8802
10/17/20,4.5558,5.0111,3.8802
10/18/20,4.5558,5.0111,3.8802
10/19/20,4.5723,5.0474,3.8798
10/20/20,4.5809,5.0158,3.8788
10/21/20,4.574,5.04,3.8593
10/22/20,4.5783,5.0716,3.873
10/23/20,4.5823,5.0535,3.865
10/24/20,4.5823,5.0535,3.865
10/25/20,4.5823,5.0535,3.865
10/26/20,4.5799,5.0464,3.875
10/27/20,4.5842,5.0532,3.8744
10/28/20,4.6202,5.0961,3.9398
10/29/20,4.6225,5.1117,3.9495
10/30/20,4.6222,5.1239,3.9513
10/31/20,4.6222,5.1239,3.9513
11/01/20,4.6222,5.1239,3.9513
11/02/20,4.6018,5.1101,3.9494
11/03/20,4.568,5.0732,3.9036
11/04/20,4.5368,5.0435,3.8707
11/05/20,4.5134,4.9899,3.8072
11/06/20,4.5263,5.0053,3.8132
11/07/20,4.5263,5.0053,3.8132
11/08/20,4.5263,5.0053,3.8132
11/09/20,4.467,4.951,3.7592
11/10/20,4.499,5.0447,3.8101
11/11/20,4.4873,5.0456,3.8138
11/12/20,4.4886,5.0004,3.8068
11/13/20,4.4888,5.0052,3.7992
11/14/20,4.4888,5.0052,3.7992
11/15/20,4.4888,5.0052,3.7992
11/16/20,4.4692,4.9758,3.7779
11/17/20,4.4964,5.0191,3.7842
11/18/20,4.4694,5.0008,3.7659
11/19/20,4.4714,5.0028,3.7791
11/20/20,4.4639,4.9936,3.7629
11/21/20,4.4639,4.9936,3.7629
11/22/20,4.4639,4.9936,3.7629
11/23/20,4.4735,5.0327,3.7589
11/24/20,4.4666,5.018,3.7645
11/25/20,4.4679,5.0128,3.7577
11/26/20,4.4749,5.0207,3.7604
11/27/20,4.4907,5.0208,3.7667
11/28/20,4.4907,5.0208,3.7667
11/29/20,4.4907,5.0208,3.7667
11/30/20,4.471,4.9763,3.7321
12/01/20,4.4788,4.9876,3.7423
12/02/20,4.4783,4.9489,3.7115
12/03/20,4.4733,4.9506,3.6814
12/04/20,4.4769,4.9588,3.682
12/05/20,4.4769,4.9588,3.682
12/06/20,4.4769,4.9588,3.682
12/07/20,4.467,4.8972,3.6832
12/08/20,4.4663,4.9003,3.6869
12/09/20,4.4246,4.9162,3.654
12/10/20,4.4268,4.8593,3.654
12/11/20,4.4358,4.8062,3.6578
12/12/20,4.4358,4.8062,3.6578
12/13/20,4.4358,4.8062,3.6578
12/14/20,4.4373,4.8923,3.6485
12/15/20,4.4426,4.893,3.6595
12/16/20,4.4354,4.931,3.6389
12/17/20,4.4423,4.9331,3.6276
12/18/20,4.4779,4.9301,3.6527
12/19/20,4.4779,4.9301,3.6527
12/20/20,4.4779,4.9301,3.6527
12/21/20,4.5111,4.9242,3.7058
12/22/20,4.5116,4.9498,3.6862
12/23/20,4.5025,4.9642,3.7009
12/24/20,4.5022,5.0139,3.6924
12/25/20,4.5022,5.0139,3.6924
12/26/20,4.5022,5.0139,3.6924
12/27/20,4.5022,5.0139,3.6924
12/28/20,4.4907,4.9671,3.6752
12/29/20,4.5308,4.9864,3.6959
12/30/20,4.5565,5.0456,3.7102
12/31/20,4.5597,5.0718,3.7158
